YEAR,TEAM,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
20-21,Minnesota,,,,14,0.357,-9,2,0,-35.7,10,0.3,-13,35,0.314,-13.8,7,0.286,-16.4,4,0.5,-0.4
20-21,New Orleans,,,,9,0.444,-0.5,5,0.4,-0.3,11,0.455,-3.7,37,0.405,-0.1,6,0.5,5.6,4,0.5,0.5
20-21,New York,,,,9,0.667,11.3,5,0.6,13,11,0.455,-0.7,36,0.556,3.6,7,0.714,11.7,4,0.5,3.7
20-21,Oklahoma City,,,,13,0.231,-24.4,4,0.75,-11.5,15,0.2,-19.3,29,0.345,-18.4,7,0.143,-26.8,4,0.5,-16
20-21,Orlando,,,,8,0.5,-12.8,6,0.333,-14.3,12,0.333,-11.2,36,0.194,-17,6,0.5,-5.3,4,0.25,-14.7
20-21,Philadelphia,,,,9,0.556,6.6,5,0.6,6.6,12,0.75,10,35,0.714,9.5,8,0.5,5.6,3,1,16
20-21,Phoenix,,,,11,0.545,2.9,6,1,27.4,14,0.786,17.4,30,0.733,12.5,7,0.571,11.4,4,0.5,8.6
20-21,Portland,,,,16,0.563,9.8,1,0,10.3,11,0.727,8.3,31,0.581,3.7,10,0.6,9,3,0.333,-8.9
20-21,Sacramento,,,,12,0.333,-2.6,4,0.5,-7.1,12,0.417,-5.3,32,0.406,-2.2,8,0.5,-4.1,4,0.75,10.9
20-21,San Antonio,,,,14,0.357,-3.6,1,0,-5.5,13,0.462,-4,34,0.471,-5.4,6,0.833,0.3,3,0.333,-0.2
20-21,Toronto,,,,12,0.167,-9.1,3,0,-12.7,12,0.417,-0.1,31,0.484,3.9,10,0.4,-4.9,3,0,-14.6
20-21,Utah,,,,10,0.9,21.7,4,0.75,9.6,12,0.75,18,35,0.657,13.5,9,0.667,16.5,2,1,26.2
20-21,Washington,,,,16,0.438,-5.6,1,0,-6.3,16,0.563,-8.5,32,0.531,-3.9,4,0.25,-9.5,3,0,-16
